region_sector,share_exporting_firms,usd_per_ton,sector,type,region
CHN_GDT,0.0831263507078834,3423.20532501712,GDT,utility,CHN
Europe_GDT,0.0209587738575739,1348.7518605211535,GDT,utility,Europe
GEO_GDT,0.0009513113745808,7915.829034159953,GDT,utility,GEO
KAZ_GDT,0.0313509588886536,7915.829034159953,GDT,utility,KAZ
KGZ_GDT,0.0059110154505743,7915.829034159953,GDT,utility,KGZ
North America_GDT,0.0214517390009934,29390.372949422905,GDT,utility,North America
Oceania_GDT,0.0220020469273522,4344.703730152607,GDT,utility,Oceania
RUS_GDT,0.1734521034432172,7915.829034159953,GDT,utility,RUS
South America_GDT,0.0023492215043762,3400.1324491295554,GDT,utility,South America
TJK_GDT,0.0015080187963157,7915.829034159953,GDT,utility,TJK
TKM_GDT,0.0169406509817029,7915.829034159953,GDT,utility,TKM
TUR_GDT,0.0028240301641562,19269.283093841488,GDT,utility,TUR
UZB_GDT,0.0060376153161989,7915.829034159953,GDT,utility,UZB
ARM_GRO,0.0080932779327405,688.2081853013244,GRO,agriculture,ARM
AZE_GRO,0.0579950863193352,324.6089763533677,GRO,agriculture,AZE
Africa_GRO,0.0094622310654582,232.1626178859998,GRO,agriculture,Africa
America_GRO,0.2493745978411436,1370.1443527776114,GRO,agriculture,America
Asia_GRO,0.0038820790868976,317.49250968104616,GRO,agriculture,Asia
CHN_GRO,0.0010989281559257,542.1770049547224,GRO,agriculture,CHN
Europe_GRO,0.1352924461623581,210.16492415438768,GRO,agriculture,Europe
GEO_GRO,0.0216695534134646,2916.7894535727164,GRO,agriculture,GEO
KAZ_GRO,0.2963796708115789,152.97406861033232,GRO,agriculture,KAZ
KGZ_GRO,0.0171281697950701,1184.9885510177771,GRO,agriculture,KGZ
North America_GRO,0.1364248806594393,176.7367545956932,GRO,agriculture,North America
Oceania_GRO,0.6675572824403496,256.07178680635377,GRO,agriculture,Oceania
RUS_GRO,0.3225927870782378,155.17597670794376,GRO,agriculture,RUS
South America_GRO,0.2850175863848889,171.83605001097965,GRO,agriculture,South America
TJK_GRO,0.0034890897364255,110.8346310694108,GRO,agriculture,TJK
TKM_GRO,0.984581408058306,1370.1443527776114,GRO,agriculture,TKM
TUR_GRO,0.1138431069045663,304.89700561430675,GRO,agriculture,TUR
UZB_GRO,5.8082962170007273e-05,14177.19114810542,GRO,agriculture,UZB
ARM_I_S,0.5570826501339078,10170.669615631632,I,manufacturing,ARM
AZE_I_S,0.4338510640904047,505.02177036289874,I,manufacturing,AZE
Africa_I_S,0.2674603039692474,679.2237454523763,I,manufacturing,Africa
America_I_S,0.2519114697985736,83048289.78771599,I,manufacturing,America
Asia_I_S,0.0644690662502414,738.1242077880753,I,manufacturing,Asia
CHN_I_S,0.0687163989412127,717.6449705621028,I,manufacturing,CHN
Europe_I_S,0.098103645245366,915.0974294070064,I,manufacturing,Europe
GEO_I_S,0.9498908150511408,892.9714976381019,I,manufacturing,GEO
KAZ_I_S,0.4987090182150017,924.4328501706456,I,manufacturing,KAZ
KGZ_I_S,0.1117124233906883,653.103395322634,I,manufacturing,KGZ
North America_I_S,0.0494165766949087,1063.8718613704557,I,manufacturing,North America
Oceania_I_S,0.1868069063236427,1415.4709065853544,I,manufacturing,Oceania
RUS_I_S,0.3609849482388776,475.1280218858427,I,manufacturing,RUS
South America_I_S,0.1201685843473162,833.2701354011793,I,manufacturing,South America
TJK_I_S,0.1093198015102437,3564.5893748546505,I,manufacturing,TJK
TKM_I_S,0.0009695529913948,6848.344579633983,I,manufacturing,TKM
TUR_I_S,0.238020034111696,558.3135240513975,I,manufacturing,TUR
UZB_I_S,0.0214613465995787,1786.470031781313,I,manufacturing,UZB
ARM_LEA,0.5851726809116354,6900.491983363673,LEA,manufacturing,ARM
AZE_LEA,0.6573123205575935,2724.970294133828,LEA,manufacturing,AZE
Africa_LEA,0.1813536596144673,13070.968397938235,LEA,manufacturing,Africa
America_LEA,0.2420460936928174,11312.780093108691,LEA,manufacturing,America
Asia_LEA,0.3913441333904903,20886.723267692694,LEA,manufacturing,Asia
CHN_LEA,0.4145696224266709,12105.280488537575,LEA,manufacturing,CHN
Europe_LEA,0.1936658124181324,33078.08528042398,LEA,manufacturing,Europe
GEO_LEA,0.1603783558002941,12716.253390705522,LEA,manufacturing,GEO
KAZ_LEA,0.628963367585376,3439.5432552888924,LEA,manufacturing,KAZ
KGZ_LEA,0.9514214700044772,9027.379671949278,LEA,manufacturing,KGZ
North America_LEA,0.1774770488311109,12838.159945433872,LEA,manufacturing,North America
Oceania_LEA,0.6243642501042016,9382.319852637089,LEA,manufacturing,Oceania
RUS_LEA,0.7694887388602556,13571.457999354416,LEA,manufacturing,RUS
South America_LEA,0.1363145392195109,7997.14367039328,LEA,manufacturing,South America
TJK_LEA,0.9356118765457828,2518.485012066651,LEA,manufacturing,TJK
TKM_LEA,0.810614414255616,18792.684258468744,LEA,manufacturing,TKM
TUR_LEA,0.3240800392536039,10997.016586848891,LEA,manufacturing,TUR
UZB_LEA,0.3440175375798039,2270.298227611132,LEA,manufacturing,UZB
ARM_LUM,0.0749696022065739,1357.6069069811792,LUM,manufacturing,ARM
AZE_LUM,0.0759346231161149,451.66951304637456,LUM,manufacturing,AZE
Africa_LUM,0.0975319728246129,667.4018927368885,LUM,manufacturing,Africa
America_LUM,0.1389170207043103,953.5758509151158,LUM,manufacturing,America
Asia_LUM,0.0628791001517833,735.7763856590077,LUM,manufacturing,Asia
CHN_LUM,0.0615678298317492,1411.4784104768896,LUM,manufacturing,CHN
Europe_LUM,0.0634838090235576,545.4079861142575,LUM,manufacturing,Europe
